Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS70024,Slight,2019-01-04,51.485216,Darkness - Lights Lit,Kensington And Chelsea,-0.149986,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70025,Serious,2019-01-02,51.485589,Darkness - Lights Lit,Kensington And Chelsea,-0.150835,1.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70026,Slight,2019-01-15,51.488489,Darkness - Lights Lit,Kensington And Chelsea,-0.192634,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70028,Slight,2019-01-20,51.485849,Daylight,Kensington And Chelsea,-0.17315,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70029,Slight,2019-01-18,51.481152,Daylight,Kensington And Chelsea,-0.183419,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Minibus (8 - 16 Passenger Seats)
200701BS70032,Slight,2019-01-26,51.492624,Daylight,Kensington And Chelsea,-0.157897,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70034,Slight,2019-01-12,51.49859,Darkness - Lights Lit,Kensington And Chelsea,-0.165581,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70035,Slight,2019-01-28,51.527693,Darkness - Lights Lit,Westminster,-0.215879,3.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70036,Slight,2019-01-24,51.482775,Daylight,Kensington And Chelsea,-0.177882,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70037,Serious,2019-01-24,51.491908,Darkness - Lights Lit,Kensington And Chelsea,-0.192787,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70038,Slight,2019-01-27,51.497451,Darkness - Lights Lit,Kensington And Chelsea,-0.167499,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70039,Slight,2019-01-27,51.510711,Darkness - Lights Lit,Kensington And Chelsea,-0.216831,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70040,Slight,2019-01-25,51.500933,Darkness - Lights Lit,Kensington And Chelsea,-0.19488,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70041,Slight,2019-01-24,51.497725,Darkness - Lights Lit,Kensington And Chelsea,-0.202642,1.0,1.0,Snow,Single Carriageway,Urban,Snowing No High Winds,Car
200701BS70042,Slight,2019-01-26,51.48849,Daylight,Kensington And Chelsea,-0.181111,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70043,Slight,2019-01-25,51.491499,Darkness - Lights Lit,Kensington And Chelsea,-0.172204,2.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70044,Slight,2019-01-27,51.528344,Darkness - Lights Lit,Kensington And Chelsea,-0.217295,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70045,Slight,2019-01-24,51.480261,Daylight,Kensington And Chelsea,-0.178126,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS70046,Slight,2019-01-27,51.489416,Daylight,Kensington And Chelsea,-0.19447,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70047,Serious,2019-01-28,51.4996,Darkness - Lights Lit,Kensington And Chelsea,-0.207611,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70049,Slight,2019-01-27,51.494905,Darkness - Lights Lit,Kensington And Chelsea,-0.183016,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70050,Slight,2019-01-09,51.492622,Daylight,Kensington And Chelsea,-0.157753,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70051,Slight,2019-01-20,51.503223,Darkness - Lights Lit,Kensington And Chelsea,-0.191763,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70052,Serious,2019-02-08,51.497541,Darkness - Lights Lit,Kensington And Chelsea,-0.167496,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70053,Serious,2019-02-10,51.514399,Darkness - Lights Lit,Kensington And Chelsea,-0.199248,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS70054,Slight,2019-02-06,51.511079,Darkness - Lights Lit,Kensington And Chelsea,-0.205576,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70055,Serious,2019-01-26,51.458413,Daylight,Richmond Upon Thames,-0.323089,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70057,Slight,2019-02-04,51.50689,Daylight,Kensington And Chelsea,-0.208046,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70058,Slight,2019-02-06,51.487655,Darkness - Lights Lit,Kensington And Chelsea,-0.167892,1.0,1.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70059,Slight,2019-02-04,51.506014,Darkness - Lights Lit,Kensington And Chelsea,-0.209521,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70060,Slight,2019-02-01,51.480458,Daylight,Kensington And Chelsea,-0.185031,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS70061,Serious,2019-01-31,51.493503,Darkness - Lights Lit,Kensington And Chelsea,-0.173852,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70062,Slight,2019-01-31,51.484449,Darkness - Lights Lit,Kensington And Chelsea,-0.175654,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70063,Slight,2019-01-30,51.491742,Daylight,Kensington And Chelsea,-0.164703,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70064,Slight,2019-02-03,51.490715,Daylight,Kensington And Chelsea,-0.19125,2.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70065,Slight,2019-02-05,51.498204,Daylight,Kensington And Chelsea,-0.192826,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS70066,Serious,2019-02-03,51.486026,Daylight,Kensington And Chelsea,-0.161476,2.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70067,Slight,2019-02-14,51.510897,Darkness - Lights Lit,Kensington And Chelsea,-0.205439,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70068,Slight,2019-02-12,51.501428,Darkness - Lights Lit,Kensington And Chelsea,-0.191978,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70069,Slight,2019-02-07,51.494612,Darkness - Lights Lit,Kensington And Chelsea,-0.18735,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS70070,Slight,2019-01-03,51.493914,Daylight,Kensington And Chelsea,-0.177149,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70071,Slight,2019-01-24,51.522561,Darkness - Lights Lit,Kensington And Chelsea,-0.221413,1.0,1.0,Snow,Single Carriageway,Urban,Snowing No High Winds,Car
200701BS70072,Slight,2019-01-20,51.518081,Darkness - Lights Lit,Kensington And Chelsea,-0.210633,2.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS70073,Serious,2019-02-14,51.490546,Daylight,Kensington And Chelsea,-0.186071,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70074,Slight,2019-02-08,51.482076,Daylight,Kensington And Chelsea,-0.173445,1.0,4.0,Snow,Single Carriageway,Urban,Snowing No High Winds,Motorcycle
200701BS70075,Slight,2019-02-13,51.482637,Darkness - Lights Lit,Kensington And Chelsea,-0.186385,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS70076,Slight,2019-02-14,51.48757,Darkness - Lights Lit,Kensington And Chelsea,-0.168184,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70077,Slight,2019-02-13,51.496411,Darkness - Lights Lit,Kensington And Chelsea,-0.164228,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70079,Slight,2019-02-19,51.500497,Darkness - Lights Lit,Kensington And Chelsea,-0.195761,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70080,Slight,2019-02-16,51.495191,Daylight,Kensington And Chelsea,-0.18992,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70081,Slight,2019-02-14,51.5159,Daylight,Kensington And Chelsea,-0.209133,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70082,Slight,2019-02-10,51.480177,Daylight,Kensington And Chelsea,-0.178561,1.0,1.0,Dry,Single Carriageway,Urban,Other,Car
200701BS70083,Slight,2019-02-22,51.50768,Daylight,Kensington And Chelsea,-0.195045,1.0,1.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS70084,Slight,2019-02-10,51.487141,Darkness - Lights Lit,Kensington And Chelsea,-0.169497,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70085,Slight,2019-02-11,51.496464,Daylight,Kensington And Chelsea,-0.179209,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70086,Slight,2019-02-28,51.485757,Daylight,Kensington And Chelsea,-0.150108,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70087,Slight,2019-02-25,51.48342,Daylight,Kensington And Chelsea,-0.167342,2.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS70088,Slight,2019-02-19,51.518935,Darkness - Lights Lit,Kensington And Chelsea,-0.225446,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70089,Slight,2019-02-18,51.49566,Darkness - Lights Lit,Kensington And Chelsea,-0.173766,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS70090,Slight,2019-02-28,51.484962,Daylight,Kensington And Chelsea,-0.185572,1.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70091,Slight,2019-02-27,51.49557,Darkness - Lights Lit,Kensington And Chelsea,-0.17377,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70092,Slight,2019-02-24,51.501749,Darkness - Lights Lit,Westminster,-0.160555,2.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
200701BS70094,Slight,2019-03-03,51.51417,Darkness - Lights Lit,Kensington And Chelsea,-0.20776,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70095,Slight,2019-03-03,51.485323,Darkness - Lights Lit,Kensington And Chelsea,-0.174035,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70096,Slight,2019-03-02,51.496174,Daylight,Kensington And Chelsea,-0.207025,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70097,Slight,2019-02-28,51.508537,Darkness - Lights Lit,Kensington And Chelsea,-0.215763,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701BS70098,Slight,2019-02-27,51.488988,Darkness - Lights Lit,Kensington And Chelsea,-0.190022,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70099,Slight,2019-03-02,51.509605,Daylight,Kensington And Chelsea,-0.197419,1.0,2.0,Dry,Roundabout,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS70100,Slight,2019-03-05,51.487745,Daylight,Kensington And Chelsea,-0.167889,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70101,Slight,2019-03-01,51.493252,Daylight,Kensington And Chelsea,-0.169252,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS70102,Slight,2019-03-06,51.5159,Daylight,Kensington And Chelsea,-0.209133,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70103,Slight,2019-03-01,51.517252,Daylight,Kensington And Chelsea,-0.203459,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70105,Slight,2019-03-13,51.483422,Daylight,Kensington And Chelsea,-0.167486,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70106,Slight,2019-03-03,51.494624,Daylight,Kensington And Chelsea,-0.193976,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS70107,Slight,2019-03-20,51.519685,Daylight,Kensington And Chelsea,-0.215615,1.0,1.0,Dry,Single Carriageway,Urban,Other,Car
200701BS70108,Serious,2019-03-10,51.484044,Darkness - Lights Lit,Kensington And Chelsea,-0.184312,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70110,Serious,2019-03-06,51.485364,Daylight,Kensington And Chelsea,-0.188293,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70115,Slight,2019-03-14,51.517171,Darkness - Lights Lit,Kensington And Chelsea,-0.209948,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS70116,Slight,2019-03-21,51.491964,Darkness - Lights Lit,Kensington And Chelsea,-0.161669,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70117,Slight,2019-02-27,51.479733,Darkness - Lights Unlit,Kensington And Chelsea,-0.178867,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70118,Slight,2019-03-08,51.498154,Daylight,Kensington And Chelsea,-0.166463,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70120,Slight,2019-03-16,51.515641,Daylight,Hammersmith And Fulham,-0.221683,1.0,2.0,Dry,Slip Road,Urban,Fine No High Winds,Motorcycle
200701BS70121,Slight,2019-03-15,51.49747,Darkness - Lights Lit,Kensington And Chelsea,-0.197754,1.0,2.0,Dry,One Way Street,Urban,Fine No High Winds,Car
200701BS70122,Slight,2019-03-16,51.499443,Daylight,Kensington And Chelsea,-0.197388,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70124,Slight,2019-03-17,51.494469,Daylight,Kensington And Chelsea,-0.195567,1.0,3.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70125,Slight,2019-03-17,51.488439,Daylight,Kensington And Chelsea,-0.166276,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70126,Slight,2019-03-17,51.477833,Darkness - Lights Lit,Hammersmith And Fulham,-0.189744,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70127,Slight,2019-02-14,51.50191,Daylight,Westminster,-0.159396,3.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70128,Slight,2019-03-18,51.5159,Darkness - Lights Lit,Kensington And Chelsea,-0.209133,2.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70129,Slight,2019-03-25,51.507806,Daylight,Kensington And Chelsea,-0.203254,1.0,1.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Car
200701BS70130,Slight,2019-03-11,51.504582,Daylight,Hammersmith And Fulham,-0.215917,1.0,2.0,Dry,Roundabout,Urban,Fine No High Winds,Heavy Goods Vehicle (Hgv)
200701BS70131,Slight,2019-03-13,51.508472,Daylight,Kensington And Chelsea,-0.19977,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70132,Slight,2019-03-16,51.494508,Daylight,Kensington And Chelsea,-0.174821,1.0,1.0,Dry,Roundabout,Urban,Fine No High Winds,Car
200701BS70133,Slight,2019-03-17,51.493429,Daylight,Kensington And Chelsea,-0.169101,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70134,Slight,2019-03-20,51.48295,Daylight,Kensington And Chelsea,-0.177587,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70138,Slight,2019-03-26,51.502197,Daylight,Kensington And Chelsea,-0.189354,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70139,Slight,2019-03-23,51.491149,Daylight,Kensington And Chelsea,-0.172794,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70140,Serious,2019-03-22,51.48555,Daylight,Kensington And Chelsea,-0.177051,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70141,Slight,2019-03-22,51.488394,Daylight,Kensington And Chelsea,-0.19235,1.0,1.0,Wet,Single Carriageway,Urban,Snowing No High Winds,Bus Or Coach (17 Or More Pass Seats)
200701BS70142,Slight,2019-03-24,51.523076,Darkness - Lights Lit,Kensington And Chelsea,-0.219807,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70143,Slight,2019-03-23,51.482079,Darkness - Lights Lit,Kensington And Chelsea,-0.173589,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Light Goods Vehicle (Lgv)
200701BS70145,Serious,2019-03-21,51.488093,Daylight,Kensington And Chelsea,-0.167154,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70146,Slight,2019-03-26,51.501198,Daylight,Kensington And Chelsea,-0.159857,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70147,Slight,2019-03-24,51.495361,Darkness - Lights Lit,Kensington And Chelsea,-0.177668,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Motorcycle
200701BS70148,Slight,2019-03-21,51.496171,Daylight,Kensington And Chelsea,-0.206881,1.0,2.0,Wet,Single Carriageway,Urban,Raining No High Winds,Car
200701BS70149,Slight,2019-03-25,51.489416,Daylight,Kensington And Chelsea,-0.19447,1.0,3.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70150,Slight,2019-03-30,51.498838,Darkness - Lights Lit,Kensington And Chelsea,-0.198997,1.0,2.0,Dry,Dual Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70151,Slight,2019-03-20,51.493269,Daylight,Kensington And Chelsea,-0.181929,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70152,Slight,2019-03-30,51.485757,Daylight,Kensington And Chelsea,-0.150108,1.0,2.0,Wet,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
200701BS70153,Slight,2019-03-24,51.502405,Daylight,Kensington And Chelsea,-0.191219,1.0,1.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70154,Slight,2019-03-25,51.51502,Darkness - Lights Lit,Kensington And Chelsea,-0.204556,2.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Motorcycle
200701BS70156,Slight,2019-03-22,51.490172,Darkness - Lights Lit,Kensington And Chelsea,-0.190983,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Car
200701BS70157,Slight,2019-03-28,51.48803,Daylight,Kensington And Chelsea,-0.174647,1.0,2.0,Dry,Single Carriageway,Urban,Fine No High Winds,Taxi/Private Hire Car
